# column 0: Wavelength [micron]
# column 1: Total attenuated SED [Jy]
# column 2: Primary sources attenuated SED [Jy]
# column 3: Primary emission [W/Hz]
# column 4: Evolved stellar populations emission [W/Hz]
# 
3.4799e+01 4.7096e+04 2.8475e+04 1.6286e+27 3.5495e+24
3.5703e+01 4.2858e+04 2.3114e+04 1.1064e+27 3.3766e+24
3.6630e+01 4.5061e+04 2.4094e+04 1.1740e+27 3.2120e+24
3.7581e+01 4.7405e+04 2.5022e+04 1.2177e+27 3.0555e+24
3.8557e+01 5.0504e+04 2.6582e+04 1.2929e+27 2.9067e+24
3.9559e+01 5.3771e+04 2.8183e+04 1.3699e+27 2.7650e+24
4.0586e+01 5.7257e+04 2.9832e+04 1.4491e+27 2.6292e+24
4.1640e+01 6.1012e+04 3.1529e+04 1.5304e+27 2.4993e+24
4.2722e+01 6.4976e+04 3.3264e+04 1.6136e+27 2.3757e+24
4.3832e+01 6.9165e+04 3.5033e+04 1.6983e+27 2.2583e+24
4.4970e+01 7.3608e+04 3.6837e+04 1.7847e+27 2.1467e+24
4.6138e+01 7.8300e+04 3.8662e+04 1.8722e+27 2.0406e+24
4.7336e+01 8.3273e+04 4.0518e+04 1.9609e+27 1.9397e+24
4.8566e+01 8.8494e+04 4.2385e+04 2.0503e+27 1.8438e+24
4.9827e+01 9.3906e+04 4.4267e+04 2.1402e+27 1.7527e+24
5.1121e+01 1.0276e+05 4.9297e+04 2.2948e+27 1.6661e+24
5.2449e+01 1.1230e+05 5.4694e+04 2.6531e+27 1.5837e+24
5.3811e+01 1.1218e+05 5.0295e+04 2.4106e+27 1.5054e+24
5.5209e+01 1.1810e+05 5.1825e+04 2.5006e+27 1.4310e+24
5.6643e+01 1.2602e+05 5.4981e+04 2.6303e+27 1.3603e+24
5.8114e+01 1.3422e+05 5.8056e+04 2.8016e+27 1.2931e+24
5.9624e+01 1.3870e+05 5.7344e+04 2.7637e+27 1.2292e+24
6.1172e+01 1.4601e+05 5.9139e+04 2.8489e+27 1.1681e+24
6.2761e+01 1.5402e+05 6.1184e+04 2.9482e+27 1.1101e+24
6.4391e+01 1.6187e+05 6.2729e+04 3.0204e+27 1.0549e+24
6.6063e+01 1.6980e+05 6.4220e+04 3.0913e+27 1.0024e+24
6.7779e+01 1.7835e+05 6.5828e+04 3.1681e+27 9.5259e+23
6.9540e+01 1.8743e+05 6.7401e+04 3.2430e+27 9.0523e+23
7.1346e+01 1.9609e+05 6.8909e+04 3.3148e+27 8.6022e+23
7.3199e+01 2.0459e+05 7.0362e+04 3.3837e+27 8.1746e+23
7.5100e+01 2.1355e+05 7.1738e+04 3.4491e+27 7.7681e+23
7.7051e+01 2.2281e+05 7.3040e+04 3.5112e+27 7.3819e+23
7.9052e+01 2.3137e+05 7.4284e+04 3.5699e+27 7.0149e+23
8.1105e+01 2.4013e+05 7.5443e+04 3.6251e+27 6.6656e+23
8.3212e+01 2.4938e+05 7.6553e+04 3.6772e+27 6.3331e+23
8.5373e+01 2.5836e+05 7.7633e+04 3.7258e+27 6.0172e+23
8.7590e+01 2.7696e+05 8.9219e+04 4.3184e+27 5.7171e+23
8.9865e+01 2.8162e+05 8.6437e+04 4.1582e+27 5.4319e+23
9.2199e+01 2.8320e+05 8.0161e+04 3.8483e+27 5.1609e+23
9.4594e+01 2.9059e+05 8.0831e+04 3.8801e+27 4.9035e+23
9.7051e+01 2.9752e+05 8.1382e+04 3.9078e+27 4.6589e+23
9.9571e+01 3.0481e+05 8.1898e+04 3.9306e+27 4.4265e+23
1.0216e+02 3.1202e+05 8.2285e+04 3.9481e+27 4.2053e+23
1.0481e+02 3.1802e+05 8.2566e+04 3.9609e+27 3.9951e+23
1.0753e+02 3.2414e+05 8.2774e+04 3.9707e+27 3.7954e+23
1.1033e+02 3.3055e+05 8.2925e+04 3.9780e+27 3.6057e+23
1.1319e+02 3.3568e+05 8.3026e+04 3.9825e+27 3.4255e+23
1.1613e+02 3.3924e+05 8.3040e+04 3.9831e+27 3.2542e+23
1.1915e+02 3.4294e+05 8.2976e+04 3.9786e+27 3.0916e+23
1.2224e+02 3.4924e+05 8.5465e+04 4.1845e+27 2.9369e+23
1.2542e+02 3.4758e+05 8.2503e+04 3.9541e+27 2.7899e+23
1.2867e+02 3.4793e+05 8.2173e+04 3.9401e+27 2.6502e+23
1.3202e+02 3.4844e+05 8.1845e+04 3.9244e+27 2.5176e+23
1.3545e+02 3.4817e+05 8.1405e+04 3.9025e+27 2.3916e+23
1.3896e+02 3.4550e+05 8.0790e+04 3.8732e+27 2.2719e+23
1.4257e+02 3.4268e+05 7.9999e+04 3.8345e+27 2.1580e+23
1.4628e+02 3.3990e+05 7.9068e+04 3.7901e+27 2.0499e+23
1.5008e+02 3.3668e+05 7.7880e+04 3.7323e+27 1.9471e+23
1.5397e+02 3.3334e+05 7.6674e+04 3.6778e+27 1.8495e+23
1.5797e+02 3.3008e+05 7.5399e+04 3.6215e+27 1.7568e+23
1.6207e+02 3.2699e+05 7.4375e+04 3.5530e+27 0.0000e+00
1.6628e+02 3.2182e+05 7.2772e+04 3.4874e+27 0.0000e+00
1.7060e+02 3.1666e+05 7.1321e+04 3.4176e+27 0.0000e+00
1.7503e+02 3.1161e+05 6.9824e+04 3.3461e+27 0.0000e+00
1.7958e+02 3.0579e+05 6.8256e+04 3.2737e+27 0.0000e+00
1.8424e+02 2.9861e+05 6.6772e+04 3.1971e+27 0.0000e+00
1.8903e+02 2.9150e+05 6.5138e+04 3.1196e+27 0.0000e+00
1.9394e+02 2.8459e+05 6.3488e+04 3.0402e+27 0.0000e+00
1.9898e+02 2.7769e+05 6.1884e+04 2.9594e+27 0.0000e+00
2.0414e+02 2.7225e+05 6.1675e+04 2.9644e+27 0.0000e+00
2.0945e+02 2.6422e+05 5.8655e+04 2.7931e+27 0.0000e+00
2.1489e+02 2.5711e+05 5.6595e+04 2.7116e+27 0.0000e+00
2.2047e+02 2.4955e+05 5.4879e+04 2.6286e+27 0.0000e+00
2.2619e+02 2.4204e+05 5.3088e+04 2.5463e+27 0.0000e+00
2.3207e+02 2.3483e+05 5.1362e+04 2.4592e+27 0.0000e+00
2.3810e+02 2.2681e+05 4.9565e+04 2.3745e+27 0.0000e+00
2.4428e+02 2.1796e+05 4.7806e+04 2.2911e+27 0.0000e+00
2.5063e+02 2.0948e+05 4.6085e+04 2.2071e+27 0.0000e+00
2.5714e+02 2.0126e+05 4.4337e+04 2.1243e+27 0.0000e+00
2.6381e+02 1.9279e+05 4.2636e+04 2.0412e+27 0.0000e+00
2.7067e+02 1.8444e+05 4.0909e+04 1.9597e+27 0.0000e+00
2.7770e+02 1.7648e+05 3.9221e+04 1.8787e+27 0.0000e+00
2.8491e+02 1.6856e+05 3.7552e+04 1.7982e+27 0.0000e+00
2.9231e+02 1.6018e+05 3.5935e+04 1.7204e+27 0.0000e+00
2.9990e+02 1.5218e+05 3.4355e+04 1.6446e+27 0.0000e+00
3.0769e+02 1.4455e+05 3.2800e+04 1.5716e+27 0.0000e+00
3.1568e+02 1.3738e+05 3.1300e+04 1.4989e+27 0.0000e+00
3.2388e+02 1.3059e+05 2.9838e+04 1.4279e+27 0.0000e+00
3.3229e+02 1.2409e+05 2.8389e+04 1.3589e+27 0.0000e+00
3.4092e+02 1.1787e+05 2.6982e+04 1.2927e+27 0.0000e+00
3.4978e+02 1.1167e+05 2.5638e+04 1.2271e+27 0.0000e+00
3.5886e+02 1.0571e+05 2.4325e+04 1.1643e+27 0.0000e+00
3.6818e+02 1.0004e+05 2.3031e+04 1.1105e+27 0.0000e+00
3.7775e+02 9.4728e+04 2.1911e+04 1.0494e+27 0.0000e+00
3.8756e+02 8.9379e+04 2.0652e+04 9.8926e+26 0.0000e+00
3.9762e+02 8.4382e+04 1.9513e+04 9.3444e+26 0.0000e+00
4.0795e+02 7.9664e+04 1.8429e+04 8.8221e+26 0.0000e+00
4.1855e+02 7.5036e+04 1.7380e+04 8.3310e+26 0.0000e+00
4.2942e+02 7.0595e+04 1.6386e+04 7.8492e+26 0.0000e+00
4.4057e+02 6.6415e+04 1.5430e+04 7.3882e+26 0.0000e+00
4.5201e+02 6.2451e+04 1.4517e+04 6.9596e+26 0.0000e+00
4.6375e+02 5.8634e+04 1.3638e+04 6.5403e+26 0.0000e+00
4.7580e+02 5.5044e+04 1.2812e+04 6.1417e+26 0.0000e+00
4.8816e+02 5.1670e+04 1.2025e+04 5.7615e+26 0.0000e+00
5.0083e+02 4.8440e+04 1.1272e+04 5.3965e+26 0.0000e+00
5.1384e+02 4.5337e+04 1.0556e+04 5.0563e+26 0.0000e+00
5.2719e+02 4.2435e+04 9.8839e+03 4.7325e+26 0.0000e+00
5.4088e+02 3.9705e+04 9.2404e+03 4.4237e+26 0.0000e+00
5.5493e+02 3.7113e+04 8.6382e+03 4.1349e+26 0.0000e+00
5.6934e+02 3.4668e+04 8.0650e+03 3.8647e+26 0.0000e+00
5.8413e+02 3.2384e+04 7.5280e+03 3.6077e+26 0.0000e+00
